                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.2027,                 2.0501,                0.70684,                  0.934,              0.0009901
                      1,                 1.1071,                 1.5067,                0.80583,                0.96557,              0.0009802
                      2,                0.96832,                 1.1497,                0.91822,                0.99091,              0.0009703
                      3,                0.89103,                 1.0189,                0.95791,                0.99474,              0.0009604
                      4,                 0.8646,                 1.0298,                0.95218,                0.99522,              0.0009505
                      5,                0.84818,                 1.0012,                0.95887,                0.99474,              0.0009406
                      6,                0.83372,                0.96815,                0.97083,                0.99426,              0.0009307
                      7,                0.82296,                0.94714,                0.97083,                0.99522,              0.0009208
                      8,                0.81798,                0.94885,                0.97322,                0.99665,              0.0009109
                      9,                0.81753,                0.96438,                0.97704,                0.99522,               0.000901
                     10,                0.81199,                0.94779,                0.96987,                0.99617,              0.0008911
                     11,                0.80956,                0.94129,                0.97465,                0.99474,              0.0008812
                     12,                0.80768,                 0.9529,                0.97131,                0.99522,              0.0008713
                     13,                0.80521,                0.94011,                0.97513,                0.99522,              0.0008614
                     14,                0.80333,                0.93446,                0.97465,                0.99522,              0.0008515
                     15,                0.80188,                0.93542,                0.97752,                 0.9957,              0.0008416
                     16,                0.80016,                0.92641,                0.97609,                0.99665,              0.0008317
                     17,                0.80176,                0.95968,                0.97083,                0.99522,              0.0008218
                     18,                0.81507,                 1.1941,                0.88666,                0.98757,              0.0008119
                     19,                0.84358,                 1.3056,                0.87374,                0.97609,               0.000802
                     20,                 1.0055,                 2.8038,                0.42468,                0.72979,              0.0007921
                     21,                 1.1247,                 2.0836,                0.63271,                0.87183,              0.0007822
                     22,                 1.0052,                 1.4407,                0.85222,                0.96509,              0.0007723
                     23,                0.89466,                 1.0685,                0.93926,                0.99139,              0.0007624
                     24,                0.84164,                0.99601,                0.96365,                 0.9933,              0.0007525
                     25,                0.81867,                0.96049,                0.96222,                0.99378,              0.0007426
                     26,                0.80725,                0.96063,                0.96796,                0.99426,              0.0007327
                     27,                0.80077,                0.94189,                0.96748,                0.99522,              0.0007228
                     28,                 0.7968,                0.94688,                0.97083,                0.99474,              0.0007129
                     29,                0.79546,                0.96179,                0.97035,                0.99522,               0.000703
                     30,                0.79173,                 0.9508,                0.97274,                 0.9957,              0.0006931
                     31,                0.79226,                0.94824,                0.96987,                 0.9957,              0.0006832
                     32,                0.79226,                0.96572,                0.97083,                0.99474,              0.0006733
                     33,                0.79186,                0.94629,                0.96796,                0.99426,              0.0006634
                     34,                0.79121,                0.94428,                0.97178,                 0.9957,              0.0006535
                     35,                0.79032,                0.96074,                0.97035,                0.99522,              0.0006436
                     36,                 0.7899,                0.97086,                0.97083,                0.99522,              0.0006337
                     37,                0.78991,                0.96627,                0.96939,                0.99474,              0.0006238
                     38,                 0.7892,                0.95865,                0.97131,                0.99522,              0.0006139
                     39,                0.78949,                0.95097,                0.97035,                0.99522,               0.000604
                     40,                0.78893,                0.94923,                0.97035,                0.99522,              0.0005941
                     41,                0.78804,                0.95292,                0.97131,                0.99522,              0.0005842
                     42,                0.78735,                0.94098,                0.97274,                0.99474,              0.0005743
                     43,                0.78796,                 0.9485,                0.97131,                0.99474,              0.0005644
